230 CHESAPEAKE & OHIO,230,CHESAPEAKE & OHIO
231 ROCK ISLAND ALCO A,231,ROCK ISLAND ALCO A
232 NH ALCO A,232,NH ALCO A
252 NH ALCO A UNIT,252,NH ALCO A UNIT
233 ENGINE W/243W TENDER,233,ENGINE W/243W TENDER
233W LL WHISTLING TENDER,233W,LL WHISTLING TENDER
235 STEAM 2-4-2 W/TENDER,235,STEAM 2-4-2 W/TENDER
236 ENGINE W/TENDER,236,ENGINE W/TENDER
237 STEAM ENGINE W/TENDER,237,STEAM ENGINE W/TENDER
238 SCOUT LOCO W/234W TENDER,238,SCOUT LOCO W/234W TENDER
239 ENGINE W/234W TENDER,239,ENGINE W/234W TENDER
240 ENGINE/TENDER,240,ENGINE/TENDER
241 STEAM W/1130T TENDER,241,STEAM W/1130T TENDER
242 ENGINE W/TENDER,242,ENGINE W/TENDER
243 STEAM ENGINE W/243W,243,STEAM ENGINE W/243W
243W WHISTLING TENDER,243W,WHISTLING TENDER
244 ENGINE W/LL TENDER,244,ENGINE W/LL TENDER
246 STEAM ENGINE W/TENDER,246,STEAM ENGINE W/TENDER
247T B&O TENDER,247T,B&O TENDER
247 B&O STEAM ENGINE W/TENDER,247,B&O STEAM ENGINE W/TENDER
249 PA STEAM WITH TENDER,249,PA STEAM WITH TENDER
249E STEAM 2-4-2 NO TENDER,249E,STEAM 2-4-2 NO TENDER
250T PA TENDER,250T,PA TENDER
250 PA STEAM W/TENDER,250,PA STEAM W/TENDER
352 PA ABA F3? UNITS,352,PA ABA F3? UNITS
600 MKT NW-2 SWITCHER (GRAY/YELLOW),600,MKT NW-2 SWITCHER (GRAY/YELLOW)
601 SEABOARD SWITCHER,601,SEABOARD SWITCHER
602 SEABOARD NW-2 SWITCHER,602,SEABOARD NW-2 SWITCHER
610 ERIE SWITCHER,610,ERIE SWITCHER
611 JERSEY CENTRAL NW-2 SWITCHER,611,JERSEY CENTRAL NW-2 SWITCHER
613 UP NW-2 SWITCHER,613,UP NW-2 SWITCHER
614 ALASKA SWITCHER W/BRAKE,614,ALASKA SWITCHER W/BRAKE
616 SF SWITCHER,616,SF SWITCHER
617 SANTA FE NW2 SWITCHER,617,SANTA FE NW2 SWITCHER
621 JERSEY CENTRAL NW2 SWITCHER,621,JERSEY CENTRAL NW2 SWITCHER
622 AT&SF SWITCHER,622,AT&SF SWITCHER
623 SANTA FE NW-2 SWITCHER,623,SANTA FE NW-2 SWITCHER
624 C & O NW-2 SWITCHER,624,C & O NW-2 SWITCHER
625 L V GE 44 TON SWITCHER,625,L V GE 44 TON SWITCHER
626 BALTIMORE AND OHIO 44 TON SWITC,626,BALTIMORE AND OHIO 44 TON SWITC
627 LV GE 44-TON SWITCHER,627,LV GE 44-TON SWITCHER
628 GE 44 TON SWITCHER,628,GE 44 TON SWITCHER
629 BURLINGTON GE 44 TON SWITCHER,629,BURLINGTON GE 44 TON SWITCHER
633 SANTA FE NW-2,633,SANTA FE NW-2
634 ATSF NW-2 DIESEL,634,ATSF NW-2 DIESEL
635 UP NW-2 SWITCHER,635,UP NW-2 SWITCHER
637 ENGINE W/736W TENDER,637,ENGINE W/736W TENDER
645 UNION PACIFIC NW-2 SWITCHER,645,UNION PACIFIC NW-2 SWITCHER
646 HUDSON W/ 2046W TENDER,646,HUDSON W/ 2046W TENDER
665 HUDSON W/2046W,665,HUDSON W/2046W
671 W/671W TENDER (ATOMIC MOTOR),671,W/671W TENDER (ATOMIC MOTOR)
671(R) W/4424W TENDER,671(R),W/4424W TENDER
671RR TURBINE W/2046W-50 TENDER,671RR,TURBINE W/2046W-50 TENDER
671W TENDER,671W,TENDER
675 STEAM W/6466W TENDER,675,STEAM W/6466W TENDER
681 TURBINE W/5046W-50 TENDER,681,TURBINE W/5046W-50 TENDER
682 TURBINE W/2046W TENDER,682,TURBINE W/2046W TENDER
685 HUDSON W/6026W TENDER,685,HUDSON W/6026W TENDER
726 BERKSHIRE W/2426W TENDER (1946),726,BERKSHIRE W/2426W TENDER (1946)
726RR BERKSHIRE W/2046W TENDER,726RR,BERKSHIRE W/2046W TENDER
736 BERKSHIRE W/2046W TENDER,736,BERKSHIRE W/2046W TENDER
746 4-8-4 CLASS J W/746W (LONG STRI,746,4-8-4 CLASS J W/746W (LONG STRI
746W TENDER (LONG STRIPE),746W,TENDER (LONG STRIPE)
773 HUDSON W/773W,773,HUDSON W/773W
773W (NYC) TENDER,773W,(NYC) TENDER
890/891/900 LV F3 ABA CUSTOM MADE,890/891/900,LV F3 ABA CUSTOM MADE
ILLINOIS CENTRAL F3 AB,ILLINOIS,CENTRAL F3 AB
1001 SCOUT ENGINE/TENDER,1001,SCOUT ENGINE/TENDER
1055 TEXAS SPECIAL,1055,TEXAS SPECIAL
1060 STEAM W/TENDER,1060,STEAM W/TENDER
1061 STEAM LOCOMOTIVE W/TENDER,1061,STEAM LOCOMOTIVE W/TENDER
1062 ENGINE W/TENDER,1062,ENGINE W/TENDER
1065 UNION PACIFIC ALCO ENGINE,1065,UNION PACIFIC ALCO ENGINE
1066 UNION PACIFIC ALCO A,1066,UNION PACIFIC ALCO A
1101 ENGINEM W/TENDER,1101,ENGINEM W/TENDER
1110 SCOUT ENGINE/TENDER,1110,SCOUT ENGINE/TENDER
1120 ENGINE W/TENDER,1120,ENGINE W/TENDER
1130 2-4-2 STEAM ENGINE,1130,2-4-2 STEAM ENGINE
"1615 ENGINE ONLY NEEDS PARTS, ASSEM",1615,"ENGINE ONLY NEEDS PARTS, ASSEM"
1625 W/SLB TNDR (B & O) NDS FREED,1625,W/SLB TNDR (B & O) NDS FREED
1654 STEAM W/1654W,1654,STEAM W/1654W
1654W LL COAL TENDER,1654W,LL COAL TENDER
1655 ENGINE W/TENDER,1655,ENGINE W/TENDER
1656 SWITCHER W/6403B TENDER,1656,SWITCHER W/6403B TENDER
1665 STEAM SWITCHER W/2203T TENDER,1665,STEAM SWITCHER W/2203T TENDER
1666 2-6-2 ENGINE W/ 2466WX TENDER,1666,2-6-2 ENGINE W/ 2466WX TENDER
1666E ENGINE W/TENDER (GUNMETAL),1666E,ENGINE W/TENDER (GUNMETAL)
1862 GENERAL W/TENDER,1862,GENERAL W/TENDER
1862T TENDER (FOR GENERAL),1862T,TENDER (FOR GENERAL)
1872 GENERAL 4-4-0 W/TENDER,1872,GENERAL 4-4-0 W/TENDER
1882 GENERAL W/1882T,1882,GENERAL W/1882T
2016 ENGINE W/ 6026W TENDER,2016,ENGINE W/ 6026W TENDER
2018 STEAM W/2046W-50 TENDER,2018,STEAM W/2046W-50 TENDER
2020 TURBINE ENGINE W/2466WX,2020,TURBINE ENGINE W/2466WX
2020W LL WHISTLING TENDER,2020W,LL WHISTLING TENDER
2022 LL ALCO AA DIESELS,2022,LL ALCO AA DIESELS
2023 UP ALCO AA (POWER) YELLOW,2023,UP ALCO AA (POWER) YELLOW
2024 C & O ALCO A,2024,C & O ALCO A
2025 STEAM ENGINE,2025,STEAM ENGINE
2026 STEAMER W/ 6466T TENDER,2026,STEAMER W/ 6466T TENDER
2028 PENNSYLVANIA GP-7 (GOLD LET),2028,PENNSYLVANIA GP-7 (GOLD LET)
2029 ENGINE W/234W TENDER,2029,ENGINE W/234W TENDER
2031 ROCK ISLAND ALCO AA,2031,ROCK ISLAND ALCO AA
2032 ERIE ALCO AA,2032,ERIE ALCO AA
2033 UP ALCO AA (SILVER),2033,UP ALCO AA (SILVER)
2034 STEAM W/6466W (TNDR NDS WORK),2034,STEAM W/6466W (TNDR NDS WORK)
2035 ENGINE W/6466W TENDER,2035,ENGINE W/6466W TENDER
2036 STEAM ENGINE W/6466W TENDER,2036,STEAM ENGINE W/6466W TENDER
2037-500 ENG/TENDER (GIRL'S PINK),2037-500,ENG/TENDER (GIRL'S PINK)
2037 STEAM ENGINE W/6026W TENDER,2037,STEAM ENGINE W/6026W TENDER
2041 WITHOUT LETTERING RI ALCO AA,2041,WITHOUT LETTERING RI ALCO AA
2046 HUDSON W/2046W TENDER,2046,HUDSON W/2046W TENDER
2046W LL TENDER ONLY,2046W,LL TENDER ONLY
2046W-50 PA TENDER,2046W-50,PA TENDER
2055 HUDSON W/6046W TENDER,2055,HUDSON W/6046W TENDER
2056 STEAM W/2046W TENDER,2056,STEAM W/2046W TENDER
2065 HUDSON W/6026W TENDER,2065,HUDSON W/6026W TENDER
2203T TENDER,2203T,TENDER
22224W TENDER,22224W,TENDER
2240 WABASH F3 AB,2240,WABASH F3 AB
2242 NEW HAVEN F3 AB,2242,NEW HAVEN F3 AB
2245 NEW HAVEN F3 POWER A UNIT,2245,NEW HAVEN F3 POWER A UNIT
2243 F3B UNIT,2243,F3B UNIT
2321 LACKAWANA FM GRAY ROOF,2321,LACKAWANA FM GRAY ROOF
2322 VIRGINIAN FM,2322,VIRGINIAN FM
2328 BURLINGTON GP-7,2328,BURLINGTON GP-7
2331 VIRGINIAN FM (BLACK/GOLD),2331,VIRGINIAN FM (BLACK/GOLD)
2333 SANTA FE F-3 DUMMY A UNIT,2333,SANTA FE F-3 DUMMY A UNIT
2344 NYC F3 AA IN 2333 NYC BOXES,2344,NYC F3 AA IN 2333 NYC BOXES
2334 (2344) NYC F3-AA,2334,(2344) NYC F3-AA
2337 WABASH GP-7 (BOX TATTERED),2337,WABASH GP-7 (BOX TATTERED)
2338 MILWAUKEE GP7,2338,MILWAUKEE GP7
2339 WABASH DIESEL,2339,WABASH DIESEL
2341 JERSEY CENTRAL FM (GLOSSY),2341,JERSEY CENTRAL FM (GLOSSY)
2343 SF F3 AB UNIT,2343,SF F3 AB UNIT
2343C SANTA FE F3 B UNIT,2343C,SANTA FE F3 B UNIT
2343-C SANTA FE F3-B UNIT,2343-C,SANTA FE F3-B UNIT
2345C TEXAS SPECIAL B UNIT,2345C,TEXAS SPECIAL B UNIT
L &N PAINTED TRAINMASTER (ON LIONEL,L,&N PAINTED TRAINMASTER (ON LIONEL
2345 WP F-3 AA (RUN GREAT),2345,WP F-3 AA (RUN GREAT)
2346 BOSTON AND MAINE GP-9,2346,BOSTON AND MAINE GP-9
2347 CHESAPEAKE & OHIO GP7,2347,CHESAPEAKE & OHIO GP7
2348 MINNEAPOLIS & ST LOUIS GP-9,2348,MINNEAPOLIS & ST LOUIS GP-9
2349 NORTHERN PACIFIC GP 9,2349,NORTHERN PACIFIC GP 9
2353 TYPE B UNIT SANTA FE NDS PARTS,2353,TYPE B UNIT SANTA FE NDS PARTS
2353C SANTE FE DMY F3 B (BLACK TRKS,2353C,SANTE FE DMY F3 B (BLACK TRKS
WACCAMAW CENTRAL F3-ABA,WACCAMAW,CENTRAL F3-ABA
2354 AB NYC F3,2354,AB NYC F3
2355 WESTERN PACIFIC AA,2355,WESTERN PACIFIC AA
2356 SOUTHERN F3 ABA DIESEL,2356,SOUTHERN F3 ABA DIESEL
2359 B&M GP-9 DIESEL,2359,B&M GP-9 DIESEL
2363 IC F3 B UNIT,2363,IC F3 B UNIT
2365 C & O GP-7,2365,C & O GP-7
2367 WABASH F3 AA,2367,WABASH F3 AA
2368 B&O POWER A UNIT,2368,B&O POWER A UNIT
2371 CP FAIRBANKS MORRIS,2371,CP FAIRBANKS MORRIS
2373 CANADIAN PACIFIC F3 AA,2373,CANADIAN PACIFIC F3 AA
2378 MILWALKE F3 AB W/STRIPES,2378,MILWALKE F3 AB W/STRIPES
2379 REO GRANDE F-3 AB DIESELS,2379,REO GRANDE F-3 AB DIESELS
2383 SANTA FE F3 DUMMY UNIT,2383,SANTA FE F3 DUMMY UNIT
2426W LIONEL LINES DIE CAST TENDER,2426W,LIONEL LINES DIE CAST TENDER
2466WX WHISTLING TENDER,2466WX,WHISTLING TENDER
2639 MISSOURI PACIFIC F3 ABA,2639,MISSOURI PACIFIC F3 ABA
2671-1968 TCA TENDER SHELL (1968),2671-1968,TCA TENDER SHELL (1968)
2671W PA 12 WHEEL TENDER,2671W,PA 12 WHEEL TENDER
2671WX LL COAL TENDER,2671WX,LL COAL TENDER
3803 B & M F3 AB UNITS,3803,B & M F3 AB UNITS
4108 B & M (736) BERKSHIRE W/TENDER,4108,B & M (736) BERKSHIRE W/TENDER
UNUSUAL (2) 2037 TYPE TO MAKE 1 ENG,UNUSUAL,(2) 2037 TYPE TO MAKE 1 ENG
6020W WHISTLING TENDER,6020W,WHISTLING TENDER
6026W WHISTLING TENDER,6026W,WHISTLING TENDER
6043B TENDER ONLY,6043B,TENDER ONLY
6110 STEAM W/LL TENDER,6110,STEAM W/LL TENDER
6220 SF SWITCHER,6220,SF SWITCHER
6250 SEABOARD SWITCHER,6250,SEABOARD SWITCHER
6403B SLOPED BACK TENDER,6403B,SLOPED BACK TENDER
6466T LL TENDER,6466T,LL TENDER
6466WX TENDER,6466WX,TENDER
6654W LL WHISTLING TENDER,6654W,LL WHISTLING TENDER
1882T HALLOWEEN SET TENDER,1882T,HALLOWEEN SET TENDER
41 ARMY SWITCHER,41,ARMY SWITCHER
42 PICATINNY ARSENAL,42,PICATINNY ARSENAL
44 US ARMY MOBILE LAUNCHER,44,US ARMY MOBILE LAUNCHER
45 US MARINES MOBILE LAUNCHER,45,US MARINES MOBILE LAUNCHER
50 GANG CAR,50,GANG CAR
51 NAVY YARD SWITCHER,51,NAVY YARD SWITCHER
52 FIRE FIGHTING CAR,52,FIRE FIGHTING CAR
53 RIO GRANDE SNOW PLOW (CORRECT a),53,RIO GRANDE SNOW PLOW (CORRECT a)
54 BALLAST TAMPER,54,BALLAST TAMPER
55 TIE-JECTOR CAR,55,TIE-JECTOR CAR
5511 TIE-JECTOR,5511,TIE-JECTOR
56 M ST L MINE TRANSPORT,56,M ST L MINE TRANSPORT
57 AEC SWITCHER (RARE),57,AEC SWITCHER (RARE)
58 ROTARY SNOWBLOWER,58,ROTARY SNOWBLOWER
59 MINUTEMAN SWITCHER,59,MINUTEMAN SWITCHER
60 TROLLEY CAR,60,TROLLEY CAR
65 HAND CAR,65,HAND CAR
68 INSPECTION CAR,68,INSPECTION CAR
69 MAINTENANCE CAR,69,MAINTENANCE CAR
394 BEACON (ALUMINUM/RED BASE),394,BEACON (ALUMINUM/RED BASE)
3360 BURRO CRANE,3360,BURRO CRANE
3927 TRACK CLEANER,3927,TRACK CLEANER
28449 UP TRACKMOBILE,28449,UP TRACKMOBILE
400E STEAM W/400T1690 (BLACK),400E,STEAM W/400T1690 (BLACK)
400 RDC BUDD CAR,400,RDC BUDD CAR
404 BUDD RDC-4 CAR,404,BUDD RDC-4 CAR
1865 WESTERN & ATLANTIC COACH,1865,WESTERN & ATLANTIC COACH
1866 W&ARR BAGGAGE CAR,1866,W&ARR BAGGAGE CAR
1875W W & A PASSENGER CAR,1875W,W & A PASSENGER CAR
1875 WESTERN & ATLANTIC COACH,1875,WESTERN & ATLANTIC COACH
1876 US MAIL CAR,1876,US MAIL CAR
1885 WESTERN & ATLANTIC COACH,1885,WESTERN & ATLANTIC COACH
2400 MAPLEWOOD PASSENGER CAR,2400,MAPLEWOOD PASSENGER CAR
"2400,2401,2402 PASSENGER CAR SET","2400,2401,2402",PASSENGER CAR SET
2400/01/02 PULLMAN PASS SET,2400/01/02,PULLMAN PASS SET
2400/2401/2402 PASSENGER SET (GREEN,2400/2401/2402,PASSENGER SET (GREEN
2401 HILLSIDE OBSERVATION,2401,HILLSIDE OBSERVATION
2402 CHATHAM PASSENGER CAR,2402,CHATHAM PASSENGER CAR
2404/2405/2406 SF PASSENGER CARS,2404/2405/2406,SF PASSENGER CARS
2404 SANTA FE VISTA DOME,2404,SANTA FE VISTA DOME
2405 SANTA FE PASSENGER CAR,2405,SANTA FE PASSENGER CAR
2406 SANTA FE OBSERVATION,2406,SANTA FE OBSERVATION
2408 SANTA FE VISTA DOME,2408,SANTA FE VISTA DOME
2408/09/10 SANTA FE PASS CARS,2408/09/10,SANTA FE PASS CARS
2409 SANTA FE PULLMAN,2409,SANTA FE PULLMAN
2410 SANTA FE OBSERVATION,2410,SANTA FE OBSERVATION
2412 SANTA FE VISTA DOME CAR,2412,SANTA FE VISTA DOME CAR
2412/16 SANTA FE VISTA DOME BLUE ST,2412/16,SANTA FE VISTA DOME BLUE ST
2412/12/12/14/16 SF PASSENGER SET,2412/12/12/14/16,SF PASSENGER SET
"2412,2414,2416 PASSENGER SET","2412,2414,2416",PASSENGER SET
2414 SANTA FE PASSENGER CAR,2414,SANTA FE PASSENGER CAR
"2414,14,16 SANTA FE PASS SET","2414,14,16",SANTA FE PASS SET
2416 SANTA FE OBSERVATION BLUE STRP,2416,SANTA FE OBSERVATION BLUE STRP
2421 MAPLEWOOD (SILVER ROOF),2421,MAPLEWOOD (SILVER ROOF)
2421/2422/2423 PASSENGER CAR SET,2421/2422/2423,PASSENGER CAR SET
2421/22/23 PASSENGER CAR SET (SILVE,2421/22/23,PASSENGER CAR SET (SILVE
2422 CHATHAM PASSENGER CAR (SILVER),2422,CHATHAM PASSENGER CAR (SILVER)
2423 HILLSIDE OBSERVATION (GRAY RF),2423,HILLSIDE OBSERVATION (GRAY RF)
2429 LIVINGSTON PULLMAN,2429,LIVINGSTON PULLMAN
"2430,2430,2431 BLUE/GRAY","2430,2430,2431",BLUE/GRAY
2430/2430/2431 PASSENGER SET,2430/2430/2431,PASSENGER SET
"2430,30,31 PULLMAN SET (BLUE/GRAY)","2430,30,31",PULLMAN SET (BLUE/GRAY)
2431 OBSERVATION,2431,OBSERVATION
2432 CLIFTON VISTA DOME,2432,CLIFTON VISTA DOME
"2432,34,35,36 PASSENGER CAR SET","2432,34,35,36",PASSENGER CAR SET
"2432,34,36 PASSENGER CARS","2432,34,36",PASSENGER CARS
2434 NEWARK PASSENGER CAR,2434,NEWARK PASSENGER CAR
2435 ELIZABETH PASSENGER CAR,2435,ELIZABETH PASSENGER CAR
2436 SUMMIT OBSERVATION CAR,2436,SUMMIT OBSERVATION CAR
"2440,41 PULLMAN CAR SET","2440,41",PULLMAN CAR SET
2440/2440/2441 PASS SET (GREEN),2440/2440/2441,PASS SET (GREEN)
2440 PULLMAN PASSENGER CAR,2440,PULLMAN PASSENGER CAR
2441 OBSERVATION CAR,2441,OBSERVATION CAR
2442 CLIFTON VISTA DOME,2442,CLIFTON VISTA DOME
2-2442/2443 PASS CARS (TIN-BROWN/W,2-2442/2443,PASS CARS (TIN-BROWN/W
2442/2444/2446 RED STRIPE PAS,2442/2444/2446,RED STRIPE PAS
"2442,2444,2446 RED STRIPE SET","2442,2444,2446",RED STRIPE SET
"2442,45,46 PASSENGER CARS (RED STRP","2442,45,46",PASSENGER CARS (RED STRP
2443 OBSERVATION CAR,2443,OBSERVATION CAR
2444 NEWARK PASSENGER CAR (RED STRP,2444,NEWARK PASSENGER CAR (RED STRP
2445 ELIZABETH PASSENGER CAR,2445,ELIZABETH PASSENGER CAR
2446 SUMMIT PASSENGER CAR,2446,SUMMIT PASSENGER CAR
"2481,2482,2483 UP PASSENGER SET","2481,2482,2483",UP PASSENGER SET
2481/82/83 YELLOW PULLMAN SET,2481/82/83,YELLOW PULLMAN SET
2481/2482/2483 PASSENGER CAR SET,2481/2482/2483,PASSENGER CAR SET
2482 WESTFIELD PASSENGER CAR,2482,WESTFIELD PASSENGER CAR
2483 LIVINGSTON OBSERVATION,2483,LIVINGSTON OBSERVATION
2521 PRESIDENT MCKINLEY OBSERVATION,2521,PRESIDENT MCKINLEY OBSERVATION
2521/22/23 PRES PASS CARS SET,2521/22/23,PRES PASS CARS SET
2522 PRESIDENT HARRISON VISTA DOME,2522,PRESIDENT HARRISON VISTA DOME
2523 PRESIDENT GARFIELD PULLMAN,2523,PRESIDENT GARFIELD PULLMAN
2530 RAILWAY EXPRESS BAGGAGE CAR,2530,RAILWAY EXPRESS BAGGAGE CAR
"2530,31,32,33,34 LL PASSENGER SET","2530,31,32,33,34",LL PASSENGER SET
2530/31/32/33 PASSENGER SET,2530/31/32/33,PASSENGER SET
2531 SILVER DAWN OBSERVATION,2531,SILVER DAWN OBSERVATION
"2531,32,33,34 PASSENGER SET","2531,32,33,34",PASSENGER SET
2532 VISTA DOME (HEX RIVITS),2532,VISTA DOME (HEX RIVITS)
2533 SILVER CLOUD,2533,SILVER CLOUD
2534 SILVER BLUFF,2534,SILVER BLUFF
2534/32/33/31 PASSENGER CAR SET,2534/32/33/31,PASSENGER CAR SET
2541 ALEXANDER HAMILTON,2541,ALEXANDER HAMILTON
2551/42/43/44 PA PASSENGER SET,2551/42/43/44,PA PASSENGER SET
"2541,42,43,44 CONGRES PASS CARS SET","2541,42,43,44",CONGRES PASS CARS SET
2541/42/43/43 CONGRESSIONAL PASS S,2541/42/43/43,CONGRESSIONAL PASS S
2542 BETSY ROSS VISTA DOME,2542,BETSY ROSS VISTA DOME
2543 WILLIAM PENN PASSENGER CAR,2543,WILLIAM PENN PASSENGER CAR
2544 MOLLY PITCHER COACH,2544,MOLLY PITCHER COACH
2550 BUDD BAGGAGE PASSENGER CAR,2550,BUDD BAGGAGE PASSENGER CAR
2551 CP BANFF PARK OBSERVATION,2551,CP BANFF PARK OBSERVATION
2551/52/53/54 CP PASS CARS,2551/52/53/54,CP PASS CARS
"2552,52,52,51 CP PASSENGERS","2552,52,52,51",CP PASSENGERS
2552 SKYLINE 500 VISTA DOME (4 CARS,2552,SKYLINE 500 VISTA DOME (4 CARS
2553 BLAIR MANOR CP PASSENGER CAR,2553,BLAIR MANOR CP PASSENGER CAR
2554 CP CRAIG MANOR PULLMAN,2554,CP CRAIG MANOR PULLMAN
2559 BUDD RDC-9 DUMMY,2559,BUDD RDC-9 DUMMY
2561 VISTA VALLEY OBSERVATION CAR,2561,VISTA VALLEY OBSERVATION CAR
2561/2562/2562 SF PASSENGER CARS,2561/2562/2562,SF PASSENGER CARS
2561-62-62-63 SANTA FE PASS SET,2561-62-62-63,SANTA FE PASS SET
2562 SANTA VE REGAL PASS VISTA DOME,2562,SANTA VE REGAL PASS VISTA DOME
2563 INDIAN FALLS SF PASSENGER CAR,2563,INDIAN FALLS SF PASSENGER CAR
2625 IRVINGTON W/SILHOUETTES,2625,IRVINGTON W/SILHOUETTES
2625/27/28 MADISON 3 CAR SET (SILH),2625/27/28,MADISON 3 CAR SET (SILH)
"2625,2627,2628 MADISON SET W/SIL","2625,2627,2628",MADISON SET W/SIL
2625/25/28 MADISON SET,2625/25/28,MADISON SET
"2625,27,28 PASS CAR SET (NICE)","2625,27,28",PASS CAR SET (NICE)
2627 MADISON PASSENGER CAR W/SIL,2627,MADISON PASSENGER CAR W/SIL
2628 MANHATTAN PASSENGER CAR W/SIL,2628,MANHATTAN PASSENGER CAR W/SIL
"2-2640, 1-2641 PASSENGER SET","2-2640,",1-2641 PASSENGER SET
6440 PULLMAN (GREEN),6440,PULLMAN (GREEN)
6440/6440/6441 PASSENGER CARS,6440/6440/6441,PASSENGER CARS
6441 OBSERVATION (GREEN),6441,OBSERVATION (GREEN)
"6442,6442,6443 PASSENGER SET","6442,6442,6443",PASSENGER SET
6442 PULLMAN CAR,6442,PULLMAN CAR
6443 OBSERVATION CAR,6443,OBSERVATION CAR
1002 LIONEL GONDOLA (RED),1002,LIONEL GONDOLA (RED)
1004 BABY RUTH BOX CAR,1004,BABY RUTH BOX CAR
1005 SUNOCO TANKER,1005,SUNOCO TANKER
1007 SCOUT CABOOSE,1007,SCOUT CABOOSE
1800 THE GENERAL FRONTIER PACK,1800,THE GENERAL FRONTIER PACK
1877 FLAT W/ HORSES,1877,FLAT W/ HORSES
1887 FLATCAR W/FENCES & 6 HORSES,1887,FLATCAR W/FENCES & 6 HORSES
2257 CABOOSE,2257,CABOOSE
2357 SP CABOOSE (TUSCAN),2357,SP CABOOSE (TUSCAN)
2411 FLAT CAR W/3 LOGS,2411,FLAT CAR W/3 LOGS
2419 LL WORK CABOOSE,2419,LL WORK CABOOSE
2420 DL&W SEARCHLIGHT CABOOSE,2420,DL&W SEARCHLIGHT CABOOSE
2430 PULLMAN,2430,PULLMAN
2452 PENNSYLVANIA GONDOLA,2452,PENNSYLVANIA GONDOLA
2452X PENNSYLVANIA GONDOLA,2452X,PENNSYLVANIA GONDOLA
2454 BABY RUTH BOXCAR,2454,BABY RUTH BOXCAR
X2454 BABY RUTH (PRR) BOX CAR,X2454,BABY RUTH (PRR) BOX CAR
2456 LEHIGH VALLEY HOPPER,2456,LEHIGH VALLEY HOPPER
2457 ILLUMINATED CABOOSE,2457,ILLUMINATED CABOOSE
X2458 PENNSYLVANIA AUTO CAR,X2458,PENNSYLVANIA AUTO CAR
2458 PENNSYLVANIA BOXCAR,2458,PENNSYLVANIA BOXCAR
2460 BUCYRUS ERIE CRANE (GRAY CAB),2460,BUCYRUS ERIE CRANE (GRAY CAB)
2461 TRANSFORMER CAR,2461,TRANSFORMER CAR
